variable,n,mean,sd,min,p25,median,p75,max,pct_missing
employment_rate,189,75.7968253968254,5.1365078869347665,58.3,72.8,77.0,79.7,83.6,0.0
unemployment_rate,189,6.150264550264549,2.6816877890101214,2.0,4.4,5.8,7.1,17.9,0.0
gender_pay_gap,131,11.177862595419848,5.360730290036351,-1.5,7.5,11.6,15.6,21.3,30.687830687830687
job_vacancy_rate,119,2.0537815126050423,1.1342867105318735,0.6,1.125,1.875,2.5625,6.324999999999999,37.03703703703704
labour_slack_rate,189,11.671164021164023,4.764784016401369,3.125,7.9,11.124999999999998,14.425,25.75,0.0
