Model,Accuracy,Precision,Recall,F1-Score,AUC,CV_Mean,CV_Std
Random Forest,0.9469026548672567,0.9507968435710971,0.9951417004048583,0.9724639974679538,0.8554160212790957,0.9471295060080107,0.001040487
Logistic Regression,0.9421727189502593,0.9421727189502593,1,0.9702254694005813,0.5130227639323598,0.9420942208659164,9.343847960264e-05
SVM,0.9421727189502593,0.9421727189502593,1,0.9702254694005813,0.5776287481439544,0.9421323669654778,9.343847960264e-05
Gradient Boosting,0.9418675617943241,0.9428309385509018,0.9988663967611336,0.9700401037980656,0.7405343274972492,0.9431241655540721,0.00036984
Decision Tree,0.9382056759231004,0.9605683269476373,0.974412955,0.9674411126296326,0.7553361178468803,0.9353423612435628,0.003218771
K-Nearest Neighbors,0.9379005187671651,0.946577888,0.9899595141700405,0.9677827911026676,0.6859919028340081,0.9366393286286477,0.001728822
Naive Bayes,0.9055538602380225,0.9424976107040459,0.9582186234817813,0.9502931020637597,0.5644792924059693,0.911615487,0.004845606
