country_code,country_name,year,employment_rate,unemployment_rate,job_vacancy_rate,labour_slack_rate,flow_to_employment,flow_to_inactivity,gender_pay_gap
HR,Croatia,2020,66.9,7.4,1.125,14.425,16.075,23.1,9.1
HR,Croatia,2021,68.6,7.5,1.55,12.600000000000001,21.066666666666666,24.433333333333334,8.2
HR,Croatia,2022,70.2,6.8,1.575,11.125000000000002,22.299999999999997,17.974999999999998,7.3
HR,Croatia,2023,70.8,6.1,1.625,9.775,19.749999999999996,21.700000000000003,7.0
HR,Croatia,2024,73.6,5.0,1.625,8.05,20.450000000000003,20.625,5.9
HR,Croatia,2025,74.4,4.9,1.475,7.675,19.675,16.25,
HU,Hungary,2019,77.7,3.3,2.45,5.975,24.75,13.625,16.7
HU,Hungary,2020,77.6,4.1,1.95,7.6,27.4,15.500000000000002,15.6
HU,Hungary,2021,78.9,4.0,2.3,7.125,28.133333333333336,19.3,15.6
HU,Hungary,2022,80.3,3.6,2.75,5.725,22.6,20.075,16.5
HU,Hungary,2023,80.7,4.1,2.4,6.0,19.8,17.075,16.9
HU,Hungary,2024,81.1,4.5,2.125,6.325,19.299999999999997,18.95,16.4
HU,Hungary,2025,81.1,4.4,2.05,6.3,20.55,19.825,
IE,Ireland,2019,75.0,5.0,1.05,14.450000000000001,25.275000000000002,29.65,10.4
IE,Ireland,2020,72.1,5.9,0.7999999999999999,17.375,23.95,33.45,8.9
IE,Ireland,2021,74.9,6.2,1.3,15.925,41.13333333333333,21.400000000000002,9.8
IE,Ireland,2022,78.2,4.5,1.5500000000000003,10.975000000000001,34.175,26.775000000000002,9.0
IE,Ireland,2023,79.1,4.3,1.275,12.025,31.2,27.8,8.4
IE,Ireland,2024,79.8,4.3,1.2,12.475,32.1,27.375,8.0
IE,Ireland,2025,80.2,4.7,1.3,12.925,31.425,26.8,
IT,Italy,2019,63.5,9.9,1.375,22.175,14.575,38.849999999999994,5.8
IT,Italy,2020,61.9,9.3,0.875,23.575000000000003,13.0,46.55,5.2
IT,Italy,2021,62.7,9.5,1.8249999999999997,22.800000000000004,17.633333333333336,38.96666666666667,5.7
IT,Italy,2022,64.8,8.1,2.2,19.525,18.2,38.35,5.6
IT,Italy,2023,66.3,7.7,2.3,17.650000000000002,17.775,37.425,3.3
IT,Italy,2024,67.1,6.5,2.075,15.775,13.7,44.55,6.1
IT,Italy,2025,67.6,6.1,1.8249999999999997,14.8,8.25,50.875,
LT,Lithuania,2019,78.2,6.3,1.4,8.45,20.575000000000003,6.05,12.1
LT,Lithuania,2020,76.7,8.5,1.3,10.95,16.525,5.199999999999999,11.5
LT,Lithuania,2021,77.4,7.1,1.85,10.325000000000001,21.066666666666666,22.666666666666668,10.2
LT,Lithuania,2022,79.0,6.0,1.8749999999999998,9.15,25.625,18.025,10.0
LT,Lithuania,2023,78.5,6.9,1.95,10.2,26.924999999999997,20.425,10.7
LT,Lithuania,2024,79.2,7.1,2.0,10.275,25.85,22.400000000000002,9.4
LT,Lithuania,2025,80.0,6.9,2.225,9.675,30.725,20.75,
LU,Luxembourg,2019,72.8,5.6,1.65,11.725000000000001,23.85,20.875,1.0
LU,Luxembourg,2020,72.1,6.8,1.525,13.200000000000001,25.85,16.85,0.4
LU,Luxembourg,2021,74.1,5.3,1.925,12.799999999999999,30.5,24.900000000000002,-0.2
LU,Luxembourg,2022,74.8,4.6,2.525,11.625,31.124999999999996,22.4,-0.8
LU,Luxembourg,2023,74.8,5.2,1.8750000000000002,12.925,30.025000000000002,23.599999999999998,-1.2
LU,Luxembourg,2024,74.2,6.4,1.4,13.875,27.625,23.725,-1.5
LU,Luxembourg,2025,73.9,6.5,1.35,14.0,24.525,22.0,
LV,Latvia,2019,77.3,6.3,3.1,11.75,25.325000000000003,22.35,19.8
LV,Latvia,2020,76.9,8.1,2.175,13.65,24.166666666666668,19.25,21.3
LV,Latvia,2021,75.3,7.6,2.675,14.100000000000001,20.0,32.6,14.6
LV,Latvia,2022,77.0,6.9,2.8500000000000005,10.899999999999999,32.025,27.325,17.8
LV,Latvia,2023,77.5,6.5,2.675,10.225,26.675,24.2,15.2
LV,Latvia,2024,77.4,6.9,2.5500000000000003,10.7,27.7,25.299999999999997,12.9
LV,Latvia,2025,78.2,6.9,2.2,11.125,25.4,24.525,
MT,Malta,2019,75.6,4.1,2.4749999999999996,6.624999999999999,,,10.5
MT,Malta,2020,76.0,4.9,1.625,7.675000000000001,,,7.9
MT,Malta,2021,77.8,3.8,2.1750000000000003,5.9750000000000005,,,7.2
MT,Malta,2022,80.1,3.5,2.65,5.175000000000001,,,5.8
MT,Malta,2023,81.3,3.5,2.775,5.175,,,5.1
MT,Malta,2024,82.7,3.2,3.05,5.3,,,4.9
MT,Malta,2025,83.6,3.1,3.2,4.975,,,
NL,Netherlands,2019,81.0,4.4,3.2,13.55,28.825000000000003,36.099999999999994,13.8
NL,Netherlands,2020,80.8,4.9,2.5,14.425,25.0,37.724999999999994,14.0
NL,Netherlands,2021,81.7,4.2,3.75,13.149999999999999,36.6,25.133333333333336,13.8
NL,Netherlands,2022,82.9,3.5,4.8500000000000005,11.375,41.225,24.175,13.6
NL,Netherlands,2023,83.5,3.6,4.475,11.399999999999999,40.525,24.849999999999998,11.4
NL,Netherlands,2024,83.5,3.7,4.3,11.149999999999999,38.599999999999994,24.65,10.1
NL,Netherlands,2025,83.4,3.9,4.1,11.600000000000001,37.15,23.825,
PL,Poland,2019,72.6,3.3,1.0750000000000002,6.550000000000001,22.525,25.1,6.8
PL,Poland,2020,72.8,3.2,0.675,6.3,22.5,25.900000000000002,4.8
PL,Poland,2021,75.5,3.4,1.125,5.775,19.7,24.899999999999995,6.4
PL,Poland,2022,76.7,2.9,1.1,4.9,16.650000000000002,28.75,7.9
PL,Poland,2023,77.9,2.8,0.9,4.825,15.875,27.200000000000003,6.0
PL,Poland,2024,78.4,2.9,0.875,4.95,19.150000000000002,28.875,4.1
PL,Poland,2025,78.8,3.1,0.8,5.25,19.325,22.549999999999997,
PT,Portugal,2019,75.4,6.6,0.975,12.95,25.95,20.3,9.4
PT,Portugal,2020,73.9,7.1,0.6749999999999999,14.3,24.549999999999997,25.875,8.3
PT,Portugal,2021,75.5,6.7,1.0,12.8,27.075,20.375,7.1
PT,Portugal,2022,77.1,6.2,1.475,11.600000000000001,24.900000000000002,20.400000000000002,6.3
PT,Portugal,2023,78.0,6.5,1.375,11.775,26.425,21.125,8.6
PT,Portugal,2024,78.5,6.5,1.325,11.025,26.125,19.575000000000003,7.0
PT,Portugal,2025,79.6,6.0,1.4,10.3,27.775,17.425,
RO,Romania,2019,65.1,4.9,1.1,9.125,11.75,20.625,1.3
RO,Romania,2020,65.2,6.1,0.7749999999999999,10.049999999999999,13.275,21.424999999999997,-0.3
RO,Romania,2021,67.1,5.6,0.85,9.55,13.233333333333334,18.233333333333334,0.4
RO,Romania,2022,68.5,5.6,0.9,9.175,10.024999999999999,17.650000000000002,0.9
RO,Romania,2023,68.7,5.6,0.8,9.05,6.675,19.275,3.2
RO,Romania,2024,69.5,5.4,0.7,9.024999999999999,12.45,20.15,3.2
RO,Romania,2025,69.0,6.1,0.6,9.3,8.95,15.75,
SE,Sweden,2019,81.7,6.9,2.4,15.425,27.425,19.15,11.6
SE,Sweden,2020,80.2,8.5,1.8249999999999997,17.625,23.65,19.275,10.8
SE,Sweden,2021,80.4,8.9,2.4499999999999997,18.125,26.53333333333333,19.166666666666668,10.5
SE,Sweden,2022,82.0,7.5,3.125,16.150000000000002,29.049999999999997,20.5,10.2
SE,Sweden,2023,82.6,7.7,2.775,16.4,26.950000000000003,20.5,10.5
SE,Sweden,2024,81.9,8.4,2.3,17.775,24.475,20.325,10.5
SE,Sweden,2025,81.8,8.8,1.9500000000000002,18.55,24.8,17.575000000000003,
SI,Slovenia,2019,75.9,4.4,2.3,8.125,22.925,22.55,7.3
SI,Slovenia,2020,74.8,5.0,1.7000000000000002,9.45,22.45,20.075,3.1
SI,Slovenia,2021,76.1,4.8,2.5749999999999997,9.525,25.100000000000005,27.76666666666667,3.4
SI,Slovenia,2022,77.9,4.0,3.0,6.800000000000001,28.25,28.624999999999996,6.5
SI,Slovenia,2023,77.5,3.7,2.725,6.5,26.475,30.45,5.9
SI,Slovenia,2024,78.3,3.7,2.375,6.325,27.125,31.025,7.7
SI,Slovenia,2025,78.3,3.9,2.2,6.15,23.375,35.475,
SK,Slovakia,2019,75.6,5.7,1.075,7.800000000000001,11.025000000000002,5.0,18.0
SK,Slovakia,2020,74.6,6.7,0.8,8.8,11.875,5.15,15.3
SK,Slovakia,2021,74.6,6.8,0.875,8.95,12.133333333333333,2.9333333333333336,15.9
SK,Slovakia,2022,76.7,6.1,1.05,7.8500000000000005,8.45,2.9250000000000003,16.8
SK,Slovakia,2023,77.5,5.8,1.05,7.225,7.050000000000001,3.4,15.2
SK,Slovakia,2024,78.1,5.3,1.175,7.075,7.4,2.8000000000000003,15.1
SK,Slovakia,2025,78.1,5.4,1.0,6.699999999999999,5.225,,
