country_code,country_name,year,employment_rate,unemployment_rate,job_vacancy_rate,labour_slack_rate,flow_to_employment,flow_to_inactivity,gender_pay_gap
AT,Austria,2019,76.8,4.8,3.3499999999999996,10.75,30.175000000000004,24.4,20.0
AT,Austria,2020,74.8,6.0,2.8,13.125,27.174999999999997,22.65,19.2
AT,Austria,2021,75.6,6.2,3.875,12.249999999999998,35.73333333333333,18.63333333333333,19.1
AT,Austria,2022,77.3,4.8,5.3,10.075,36.05,21.075,18.7
AT,Austria,2023,77.2,5.1,4.699999999999999,10.625,37.075,20.275000000000002,18.3
AT,Austria,2024,77.4,5.2,4.0,10.774999999999999,35.8,21.075000000000003,17.6
AT,Austria,2025,77.6,5.7,3.225,11.075,33.425,20.25,
BE,Belgium,2019,70.5,5.5,3.45,12.325,21.475,28.475,4.7
BE,Belgium,2020,69.7,5.8,3.075,13.075,20.275,30.25,3.2
BE,Belgium,2021,70.6,6.3,4.3,12.9,24.75,22.449999999999996,1.8
BE,Belgium,2022,71.9,5.6,4.8,11.125,22.4,26.549999999999997,0.7
BE,Belgium,2023,72.1,5.5,4.6000000000000005,10.775000000000002,23.025000000000002,26.225,0.7
BE,Belgium,2024,72.3,5.7,4.275,11.225000000000001,21.575,26.699999999999996,0.7
BE,Belgium,2025,72.8,6.2,3.8249999999999997,12.624999999999998,24.299999999999997,23.375,
BG,Bulgaria,2019,74.3,5.2,0.875,8.75,11.125,12.149999999999999,13.6
BG,Bulgaria,2020,72.7,6.1,0.75,9.9,13.100000000000001,10.875,12.0
BG,Bulgaria,2021,73.3,5.2,0.825,8.975,12.266666666666666,12.733333333333334,11.4
BG,Bulgaria,2022,75.9,4.2,0.8500000000000001,7.5,12.175,7.675000000000001,12.1
BG,Bulgaria,2023,76.2,4.3,0.8,7.1000000000000005,9.274999999999999,10.350000000000001,13.1
BG,Bulgaria,2024,76.8,4.2,0.7749999999999999,6.4,11.575000000000001,12.000000000000002,11.5
BG,Bulgaria,2025,77.0,3.5,0.875,5.65,13.025,29.049999999999997,
CY,Cyprus,2019,75.8,7.2,1.75,13.7,29.25,4.675,11.2
CY,Cyprus,2020,75.2,7.6,1.525,14.6,21.975,5.125,10.3
CY,Cyprus,2021,76.3,7.2,2.3,14.7,27.2,10.4,11.4
CY,Cyprus,2022,78.6,6.3,2.5,12.05,22.8,5.800000000000001,12.2
CY,Cyprus,2023,79.8,5.8,2.825,10.375,23.049999999999997,5.55,12.4
CY,Cyprus,2024,80.1,4.8,3.075,8.7,23.3,8.35,12.3
CY,Cyprus,2025,81.3,4.4,2.9749999999999996,7.9,24.725,12.024999999999999,
CZ,Czechia,2019,80.3,2.0,6.325,3.125,23.35,20.125,18.9
CZ,Czechia,2020,79.7,2.6,5.525,3.6750000000000003,21.0,18.45,16.5
CZ,Czechia,2021,80.0,2.8,5.1,3.85,25.266666666666666,14.533333333333333,15.5
CZ,Czechia,2022,81.3,2.2,4.775,5.05,21.65,16.775000000000002,18.3
CZ,Czechia,2023,81.7,2.6,3.725,6.4,24.325000000000003,17.549999999999997,17.5
CZ,Czechia,2024,82.3,2.6,3.3000000000000003,6.375,26.6,18.2,18.0
CZ,Czechia,2025,82.9,2.8,1.9500000000000002,6.225,24.375,15.700000000000001,
DE,Germany,2019,79.7,2.9,3.2750000000000004,6.575,,,18.3
DE,Germany,2020,78.3,3.6,2.5250000000000004,8.725000000000001,,,17.3
DE,Germany,2021,79.6,3.6,3.225,7.9,33.53333333333333,21.733333333333334,16.8
DE,Germany,2022,80.8,3.1,4.3,6.975,31.824999999999996,24.924999999999997,16.7
DE,Germany,2023,81.1,3.1,4.025,6.9,29.85,22.875,16.8
DE,Germany,2024,81.1,3.5,3.2,7.3,28.65,24.65,14.8
DE,Germany,2025,81.1,3.8,2.6,7.925,28.175,22.650000000000002,
DK,Denmark,2019,78.3,5.0,,10.7,36.275,23.200000000000003,13.6
DK,Denmark,2020,77.8,5.6,,12.075000000000001,32.925,25.525,13.4
DK,Denmark,2021,79.0,5.1,,10.275,45.699999999999996,18.26666666666667,13.7
DK,Denmark,2022,80.1,4.5,,9.075,47.125,21.625,13.6
DK,Denmark,2023,79.8,5.1,,10.05,41.925,21.5,13.5
DK,Denmark,2024,80.2,6.2,,12.675,40.849999999999994,17.125,13.4
DK,Denmark,2025,79.8,6.4,,13.075000000000001,40.675,18.0,
EE,Estonia,2019,80.5,4.5,1.8499999999999999,9.7,29.300000000000004,29.875,20.5
EE,Estonia,2020,79.1,6.9,1.4,12.35,25.549999999999997,25.525,19.3
EE,Estonia,2021,79.3,6.2,1.725,11.225000000000001,27.399999999999995,29.766666666666666,19.1
EE,Estonia,2022,81.9,5.6,2.0,10.350000000000001,30.75,26.925,19.8
EE,Estonia,2023,82.1,6.4,1.775,11.525000000000002,30.375,25.450000000000003,16.3
EE,Estonia,2024,81.8,7.6,1.5750000000000002,12.850000000000001,28.675,21.5,18.8
EE,Estonia,2025,81.7,7.5,1.6,12.9,28.224999999999998,26.7,
EL,Greece,2019,60.8,17.9,0.6499999999999999,25.200000000000003,7.574999999999999,1.275,
EL,Greece,2020,58.3,17.6,0.42500000000000004,25.75,7.7,5.575,
EL,Greece,2021,62.6,14.7,0.575,22.25,14.566666666666668,13.0,
EL,Greece,2022,66.3,12.5,0.95,18.475,10.874999999999998,15.200000000000001,13.5
EL,Greece,2023,67.4,11.1,1.65,16.35,11.55,26.6,13.6
EL,Greece,2024,69.3,10.1,2.125,14.45,11.799999999999999,23.025000000000002,13.4
EL,Greece,2025,71.0,8.9,1.7000000000000002,12.975,11.475,21.425,
ES,Spain,2019,68.0,14.1,0.7,22.65,24.25,18.725,8.8
ES,Spain,2020,65.7,15.5,0.6,25.2,21.224999999999998,23.975,8.6
ES,Spain,2021,67.5,14.9,0.7749999999999999,24.2,24.375,18.425,8.9
ES,Spain,2022,69.3,13.0,0.875,21.474999999999998,25.0,20.125,8.9
ES,Spain,2023,70.5,12.2,0.9,20.25,25.45,20.525,7.0
ES,Spain,2024,71.4,11.4,0.9,19.3,26.85,21.674999999999997,7.0
ES,Spain,2025,72.4,10.5,0.9,18.2,26.825000000000003,21.775,
FI,Finland,2019,76.2,6.8,2.2,19.5,31.7,26.800000000000004,16.4
FI,Finland,2020,75.5,7.7,1.875,20.35,28.0,28.325,16.6
FI,Finland,2021,76.8,7.7,2.5749999999999997,16.55,31.099999999999998,23.599999999999998,16.5
FI,Finland,2022,78.4,6.8,2.85,15.049999999999999,32.4,20.625,15.6
FI,Finland,2023,78.2,7.2,2.25,15.850000000000001,29.650000000000002,22.849999999999998,16.4
FI,Finland,2024,77.0,8.4,1.825,17.975,28.325,22.549999999999997,15.9
FI,Finland,2025,76.3,9.7,1.325,19.575,22.875,21.725,
FR,France,2019,72.3,8.4,2.125,17.075000000000003,23.674999999999997,21.7,15.6
FR,France,2020,72.1,8.0,2.033333333333333,17.174999999999997,21.65,27.6,14.8
FR,France,2021,73.2,7.9,2.675,16.0,26.96666666666667,23.366666666666664,13.8
FR,France,2022,74.0,7.3,3.3499999999999996,14.774999999999999,27.8,23.275,13.2
FR,France,2023,74.4,7.3,3.1,14.7,26.900000000000002,24.049999999999997,12.6
FR,France,2024,75.0,7.4,2.6500000000000004,14.649999999999999,27.7,21.9,12.2
FR,France,2025,75.4,7.7,2.4000000000000004,14.975,27.45,21.075,
HR,Croatia,2019,66.4,6.6,1.5000000000000002,13.849999999999998,20.125,25.15,10.1
